id	org	district	locale	office	seatnum	subdist	name	elected	party	votes_C	pct	termlen	open	Res	Part	manual	web	email	phone	address	headshot
683	cnty	81	__	atty	1	0	Amy Byrd	2024-11-05	R	47903	58	4					www.berriencounty.org/170/Prosecuting-Attorney		(269) 983-7111	811 Port Street, St. Joseph MI 49085	
719	cnty	81	__	clerk	1	0	Stacy Loar-Porter	2024-11-05	R	46312	57	4					www.berriencounty.org/152/County-Clerk		(269) 983-7111	811 Port Street, St. Joseph MI 49805	
756	cnty	81	__	drain	1	0	George McManus III	2024-11-05	R	56223	95	4					www.berriencounty.org/269/Drain-Commissioner		(269) 983-7111	701 Main Street, St. Joseph MI 49085	
793	cnty	81	__	reg	1	0	Lora Gnodtke Freehling	2024-11-05	R	56379	95	4					www.berriencounty.org/296/Register-of-Deeds	lfreehling@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	https://www.berriencounty.org/ImageRepository/Document?documentID=8130
830	cnty	81	__	sheriff	1	0	Chuck Heit	2024-11-05	R	50660	73	4					www.berriencounty.org/253/Sheriffs-Office	cheit@berriencounty.org	269-983-7141	919 Port Street, St. Joseph MI 49085	
866	cnty	81	__	surv	1	0	John G. Kamer	2024-11-05	R	55722	95	4					www.berriencounty.org/1077/County-Surveyor	jkamer1401@gmail.com	269-983-7111	701 Main Street, St. Joseph MI 49085	
884	cnty	81	__	treas	1	0	Shelly Weich	2024-11-05	R	56822	95	4					www.berriencounty.org/819/Treasurer	sweich@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	https://www.berriencounty.org/ImageRepository/Document?documentID=11851
941	cnty-com	81	__		1	1	Dave Vollrath	2024-11-05	R	5259	97	4					www.berriencounty.org/705/Board-of-Commissioners	dvollrath@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
942	cnty-com	81	__		1	2	Jon Hinkelman	2024-11-05	R	5364	97	4					www.berriencounty.org/705/Board-of-Commissioners	jhinkelm@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
943	cnty-com	81	__		1	3	Chokwe Pitchford	2024-11-05	D	3564	92	4					www.berriencounty.org/705/Board-of-Commissioners	cpitchford@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
944	cnty-com	81	__		1	4	Mamie Luella Yarbrough	2024-11-05	D	3946	81	4					www.berriencounty.org/705/Board-of-Commissioners	myarbrou@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
945	cnty-com	81	__		1	5	Rayonté D. Bell	2024-11-05	D	4216	52	4					www.berriencounty.org/705/Board-of-Commissioners		(269) 983-7111	701 Main Street, St. Joseph MI 49085	
946	cnty-com	81	__		1	6	Julie Wuerfel	2024-11-05	R	5045	61	4					www.berriencounty.org/705/Board-of-Commissioners	jwuerfel@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
947	cnty-com	81	__		1	7	Robert Harrison	2024-11-05	R	5910	98	4					www.berriencounty.org/705/Board-of-Commissioners	bharrison@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
948	cnty-com	81	__		1	8	Teri Sue Freehling	2024-11-05	R	3971	95	4					www.berriencounty.org/705/Board-of-Commissioners	tfreehling@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
949	cnty-com	81	__		1	9	Alex R. Ott	2024-11-05	R	4216	52	4					www.berriencounty.org/705/Board-of-Commissioners	arott@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
950	cnty-com	81	__		1	10	Mac Elliott	2024-11-05	R	5428	96	4					www.berriencounty.org/705/Board-of-Commissioners		(269) 983-7111	701 Main Street, St. Joseph MI 49085	
951	cnty-com	81	__		1	11	Jim Curran	2024-11-05	R	5047	97	4					www.berriencounty.org/705/Board-of-Commissioners	jcurran@berriencounty.org	(269) 983-7111	701 Main Street, St. Joseph MI 49085	
952	cnty-com	81	__		1	12	Sharon J. Tyler	2024-11-05	R	2902	55	4					www.berriencounty.org/705/Board-of-Commissioners		(269) 983-7111	701 Main Street, St. Joseph MI 49085	
2637	town	4840	bainbridge	town-clerk	1	0	Patty Hiler-Molter	2024-11-05	R	1324	98	4					https://bainbridgetownship.org/township-officials/clerk/	clerk@bainbridgetownship.org	(269) 468-8040		
3302	town	4840	bainbridge	town-super	1	0	Andy J. Gardiner	2024-11-05	R	1311	98	4					https://www.michigan.gov/egle/about/organization/water-resources/stormwater/industrial/operator-certification/list-of-certified-operators	supervisor@bainbridgetownship.org	(800) 662-9278	7315 Territorial Road, Watervliet, MI 49098	
3923	town	4840	bainbridge	town-treas	1	0	Nancy C. Weber	2024-11-05	R	1318	98	4					https://bainbridgetownship.org/township-officials/clerk/	treasurer@bainbridgetownship.org	(269) 468-8040	7315 Territorial Rd., Watervliet, MI 49098	
4768	town-cou	4840	bainbridge	council	2	0	Donald Baiers	2024-11-05	R	1242	49	4					https://bainbridgetownship.org/township-officials/clerk/		(269) 468-8040		
10494	town-cou	4840	bainbridge	council	2	0	John Yetzke	2024-11-05	R	1245	49	4					https://bainbridgetownship.org/township-officials/clerk/		(269) 468-8040		
2685	town	5520	baroda	town-clerk	1	0	Christina Price	2024-11-05	R	1361	96	4					barodatownship.org	Barodaclerk@gmail.com		9091 First St. Baroda MI 49101	
3351	town	5520	baroda	town-super	1	0	Dennis M. Krotzer	2024-11-05	R	1187	79	4					barodatownship.org	Barodasupervisor01@gmail.com		9091 First St. Baroda MI 49101	
3972	town	5520	baroda	town-treas	1	0	William G. Hurst	2024-11-05	N	737	94	4					barodatownship.org	Barodatreasurer@gmail.com		9091 First St. Baroda MI 49101	
4860	town-cou	5520	baroda	council	2	0	Larry G. Klug	2024-11-05	R	1324	50	4					barodatownship.org		(269) 921-2877	9091 First St. Baroda MI 49101	
10563	town-cou	5520	baroda	council	2	0	David P. Wolf	2024-11-05	R	1265	48	4					https://barodatownship.org/about/		(269) 465-3258	9091 First St. Baroda MI 49101	
5461	vil	5500	baroda	pres	1	0	Michael Price	2024-11-05	?	206	44	2	Y				https://barodavillage.org/government/village-council		(269) 422-1779	PO Box 54, Baroda, MI 49101	
5715	vil-cou	5500	baroda	council	4	0	Nikki Andrews	2024-11-05	?	234	25	4		R			https://barodavillage.org/government/village-council		(269) 422-1779	9091 First Street, Baroda, Michigan, 49101	
5716	vil-cou	5500	baroda	council	4	0	Julie Elliott	2024-11-05	?	216	23	4		R			https://barodavillage.org/government/village-council		(269) 422-1779	2026 Village of Baroda Offices. PO Box 54, Baroda, MI 49101	
7750	vil-cou	5500	baroda	council	4	0	Steve Hillhouse	2024-11-05	?	229	56	4	Y		P		https://barodavillage.org/government/village-council		(269) 422-1779	2026 Village of Baroda Offices. PO Box 54, Baroda, MI 49101	
7751	vil-cou	5500	baroda	council	4	0	Katie Zordell	2024-11-05	?	248	26	4					https://barodavillage.org/government/village-council		(269) 422-1779	PO Box 54, Baroda, MI 49101	
2835	town	7400	benton charter	town-clerk	1	0	Carolyn Phillips	2024-11-05	D	4519	93	4					https://bentonchartertwp.org/township-board	cphillips@bentonchartertownship-mi.gov	(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
3503	town	7400	benton charter	town-super	1	0	Cathy Yates	2024-11-05	D	4516	93	4					https://bentonchartertwp.org/township-board	cyates@bentonchartertownship-mi.gov	(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
4124	town	7400	benton charter	town-treas	1	0	Debra Boothby	2024-11-05	D	4510	93	4					https://bentonchartertwp.org/township-board	dboothby@bentonchartertwp-mi.gov	(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
5144	town-cou	7400	benton charter	council	4	0	Margaret Clayborn	2024-11-05	D	3923	21	4					https://bentonchartertwp.org/township-board		(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
10752	town-cou	7400	benton charter	council	4	0	Rosie L. Hudson	2024-11-05	D	3894	21	4					https://bentonchartertwp.org/township-board		(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
10753	town-cou	7400	benton charter	council	4	0	Linda Scarbrough	2024-11-05	D	4004	22	4					https://bentonchartertwp.org/township-board		(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	
10754	town-cou	7400	benton charter	council	4	0	Joseph Taylor	2024-11-05	D	3905	21	4					https://bentonchartertwp.org/township-board		(269) 925-0616	1725 Territorial Rd Benton Harbor, MI 49022	https://www.cityoftaylor.com/ImageRepository/Document?documentID=7422
7886	city	7520	benton harbor	mayor	1	0	Marcus Muhammad	2023-11-07	?	483	57	4					www.bhcity.us	mmuhammad@bhcity.us		200 E Wall St Benton Harbor, MI 49022	
