id	org	district	locale	office	seatnum	subdist	name	elected	party	votes_C	pct	termlen	open	Res	Part	manual	web	email	phone	address	headshot
685	cnty	81	__	atty	1	0	David E. Gilbert	2024-11-05	?	46780	100	4					www.calhouncountymi.gov/departments/prosecuting_attorney/index.php	ccpo@calhouncountymi.gov	269-969-6980	161 East Michigan Avenue, Battle Creek MI 49014	
739	cnty	81	__	clerkreg	1	0	Kimberly A. Hinkley	2024-11-05	?	46551	100	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/index.php	kahinkley@calhouncountymi.gov	269-781-0718	315 West Green Street, Marshall MI 49068	
758	cnty	81	__	drain	1	0	Tommy Miller	2024-11-05	?	37143	57	4					www.calhouncountymi.gov/departments/water_resources/index.php			315 West Green Street, Marshall MI 49068	
832	cnty	81	__	sheriff	1	0	Steve Hinkley	2024-11-05	?	47191	100	4					www.calhouncountymi.gov/departments/sheriffs_office/index.php	sheriff@calhouncountymi.gov	269-969-6450	161 East Michigan Avenue, Battle Creek MI 49014	
886	cnty	81	__	treas	1	0	Brian W. Wensauer	2024-11-05	?	46098	100	4					www.calhouncountymi.gov/departments/treasurers_office/index.php	treasurerstaff@calhouncountymi.gov	269-781-0807	315 West Green Street, Marshall MI 49068	
958	cnty-com	81	__		1	1	Dominic Oo	2024-11-05	?	4020	50	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php		(269) 781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Dominic
959	cnty-com	81	__		1	2	Monique French	2024-11-05	?	4702	100	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php	mfrench@calhouncountymi.gov	269-781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Monique
960	cnty-com	81	__		1	3	Al Morehart	2024-11-05	?	5064	52	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php	amorehart@calhouncountymi.gov	269-441-8184	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Albert
961	cnty-com	81	__		1	4	Dan Strowbridge	2024-11-05	?	6549	62	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php		(269) 781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Dan
962	cnty-com	81	__		1	5	Derek F. King	2024-11-05	?	7895	100	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php	dfkvvs1@sbcglobal.net	269-781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Derek
963	cnty-com	81	__		1	6	Matthew M. Saxton	2024-11-05	?	6867	66	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php		(269) 781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Matt
964	cnty-com	81	__		1	7	Gary Tompkins	2024-11-05	?	6019	63	4					www.calhouncountymi.gov/departments/board_of_commissioners/index.php		(269) 781-0700	315 West Green Street, Marshall MI 49068	https://www.calhouncountymi.gov/departments/board_of_commissioners/Gary
445	city	980	albion	mayor	1	0	Victoria Garcia Snyder	2024-11-05	?	1580	57	2	Y				https://www.cityofalbionmi.gov/government/	vsnyder@cityofalbionmi.gov	517-630-6314	112 W Cass St, Albion, MI 49224	
6461	city-cou	980	albion		1	2	Lenn Reid	2022-11-08	?	209	100	4	Y				https://www.cityofalbionmi.gov/government/				
676	city-cou	980	albion		1	3	Jim Stuart	2024-11-05	?	298	59	4					https://www.cityofalbionmi.gov/government/				
677	city-cou	980	albion		1	4	C. J. Frost	2024-11-05	?	160	43	4					https://www.cityofalbionmi.gov/government/index.php	info@cityofalbionmi.gov	(517) 629-5535		
678	city-cou	980	albion		1	5	Vivian Davis	2024-11-05	?	276	53	4					https://www.cityofalbionmi.gov/government/		(269) 965-4161		https://daily.kellogg.edu/wp-content/uploads/2024/12/Benevolent-Bruins-Arthur-and-Vivian-Davis.jpg
6462	city-cou	980	albion		1	6	Andrew French	2022-11-08	?	256	100	4	Y				https://www.cityofalbionmi.gov/government/		(517) 629-0321		
6460	city-cou	980	albion		2	1	Donivan DuPree Williams	2022-11-08	?	282	100	4	Y				https://www.cityofalbionmi.gov/government/				
2341	town	1000	albion	town-clerk	1	0	Kathy L. Grundemann	2024-11-05	?	536	100	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/township.php	kg7270@gmail.com	517-629-7270	28051 F Drive South, Albion, MI 49224	
3005	town	1000	albion	town-super	1	0	Ken Blight	2024-11-05	?	535	100	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/township.php			28051 F Drive South, Albion, MI 49224	
3625	town	1000	albion	town-treas	1	0	Virginia Schultz	2024-11-05	?	351	100	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/township.php		517-629-4867	28051 F Drive South, Albion, MI 49224	
4245	town-cou	1000	albion	council	2	0	Gary W. Harrison	2024-11-05	?	254	34	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/township.php		517-629-6647	28051 F Drive South, Albion, MI 49224	
4246	town-cou	1000	albion	council	2	0	Cameron Reichow	2024-11-05	?	483	65	4					www.calhouncountymi.gov/departments/clerk_and_register_of_deeds/township.php			28051 F Drive South, Albion, MI 49224	
2159	schl-cou	3510	athens		8	0	Rachel Hunt	2024-11-05	?	1130	22	4		R			www.athensk12.org		269-729-5414	300 E Holcomb St, Athens, MI 49011	
2160	schl-cou	3510	athens		8	0	Eric McClure	2024-11-05	?	1496	30	4		R			www.athensk12.org	mccluree@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
2161	schl-cou	3510	athens		8	0	Jason Stanton	2020-11-03	N	1415	27	4		R			www.athensk12.org	stantonj@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
7319	schl-cou	3510	athens		8	0	Hilary Setlak	2022-11-08	N	1232	24	4	Y				www.athensk12.org	setlakh@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
7320	schl-cou	3510	athens		8	0	Jeffrey A. Penick	2022-11-08	N	1192	23	4	Y				www.athensk12.org	penickj@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
7321	schl-cou	3510	athens		8	0	John Knowles	2022-11-08	N	1315	25	4	Y				www.athensk12.org	knowlesj@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
7322	schl-cou	3510	athens		8	0	Mike R. Harvey	2022-11-08	N	1349	26	4	Y				www.athensk12.org	harveym@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
7323	schl-cou	3510	athens		8	0	Teri S. Loew	2024-11-05	?	1288	26	4					www.athensk12.org	loewt@athensk12.org	269-729-5414	300 E Holcomb St, Athens, MI 49011	
2564	town	3900	athens	town-clerk	1	0	Debera Denney	2024-11-05	?	1116	100	4					www.athenstwp.org		269-729-5305	130 East Burr Oak StreetPO BOX 368Athens, MI 49011	
3230	town	3900	athens	town-super	1	0	Stephen G. Irons	2024-11-05	?	1099	100	4					www.athenstwp.org		269-317-8214	130 East Burr Oak StreetPO BOX 368Athens, MI 49011	
3850	town	3900	athens	town-treas	1	0	Michael V. Irons	2024-11-05	?	1123	100	4					www.athenstwp.org		269-729-5305	130 East Burr Oak StreetPO BOX 368Athens, MI 49011	
4633	town-cou	3900	athens	council	2	0	Cliff Denney	2024-11-05	?	1027	50	4					www.athenstwp.org		269-275-0458	130 East Burr Oak StreetPO BOX 368Athens, MI 49011	
4634	town-cou	3900	athens	council	2	0	Stephen Tuttle	2024-11-05	?	1009	49	4					www.athenstwp.org		269-317-8218	130 East Burr Oak StreetPO BOX 368Athens, MI 49011	
5378	vil	3880	athens	clerk	1	0	Bonnie J. Conant	2024-11-05	?	414	100	2	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
5433	vil	3880	athens	pres	1	0	Martin Preston	2024-11-05	?	247	55	2	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
5516	vil	3880	athens	treas	1	0	Anita K. Shoup	2024-11-05	?	414	100	2	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
5641	vil-cou	3880	athens	council	6	0	J. R. Brunner	2024-11-05	?	352	37	4		R			http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
5642	vil-cou	3880	athens	council	6	0	Matthew Harvey	2024-11-05	?	329	35	4		R			http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
7688	vil-cou	3880	athens	council	6	0	Lucy M. Lamson	2022-11-08	?	265	33	4	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
7689	vil-cou	3880	athens	council	6	0	Jerry G. Qualls	2022-11-08	?	265	33	4	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
7690	vil-cou	3880	athens	council	6	0	Robin H. Shoup	2022-11-08	?	272	33	4	Y				http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
7691	vil-cou	3880	athens	council	6	0	Donald Crapoff	2024-11-05	?	258	27	4					http://athensarea.org		269-729-5515	129 East Burr Oak Street, Athens, MI 49011	
430	city	5920	battle creek	mayor	1	0	Mark A. Behnke	2024-11-05	?	14470	99	2	Y				www.battlecreekmi.gov		269-441-7663	10 N. Division St. Battle Creek, MI, 49014	
575	city-cou	5920	battle creek		3	0	Paige Katsarsky-Smith	2024-11-05	?	7334	23	2	Y				www.battlecreekmi.gov			10 N. Division St. Battle Creek, MI, 49014	
