id	org	district	locale	office	seatnum	subdist	name	elected	party	votes_C	pct	termlen	open	Res	Part	manual	web	email	phone	address	headshot
8293	cnty	81	__	atty	1	0	Peter J. Lucido	2024-11-05	R	279151	56	4					prosecutor.macombgov.org/Prosecutor-Home	prosecutorlucido@macombgov.org	586-469-5350	1 South Main Street, Mount Clemens MI 48043	
8310	cnty	81	__	clerkreg	1	0	Anthony G. Forlini	2024-11-05	R	277290	57	4					clerk.macombgov.org/clerk-home	clerksoffice@macombgov.org	586-469-5120	120 North Main Street, Mount Clemens MI 48043	
8365	cnty	81	__	sheriff	1	0	Anthony M. Wickersham	2024-11-05	D	255480	52	4					sheriff.macombgov.org/sheriff-home	sheriff@macombsheriff.com	586-469-5151	43565 Elizabeth Road, Mount Clemens MI 48043	
8385	cnty	81	__	treas	1	0	Larry Rocca	2024-11-05	R	277780	57	4					treasurer.macombgov.org/Treasurer-Home	treasurer@macombgov.org	586-469-5190	1 South Main Street, Mount Clemens MI 48043	
8391	cnty	81	__	works	1	0	Candice S. Miller	2024-11-05	R	301856	62	4					publicworks.macombgov.org/PublicWorks-Commissioner	public.works@macombgov.org	586-469-5325	21777 Dunham Road, Clinton Township MI 48036	
8430	cnty-com	81	__		1	1	Don Brown	2024-11-05	R	30382	72	4					bocmacomb.org/commissioners/don-brown	don.brown@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	
8431	cnty-com	81	__		1	2	Phil Kraft	2024-11-05	R	29508	96	4					bocmacomb.org/commissioners/phil-kraft	phil.kraft@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	https://bocmacomb.org/wp-content/uploads/2021/12/Kraft-Phil-MM-2203_pp-scaled.jpg
8432	cnty-com	81	__		1	3	Sylvia Grot	2024-11-05	R	24107	62	4					bocmacomb.org/commissioners/sylvia-grot	sylvia.grot@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	https://bocmacomb.org/wp-content/uploads/2021/12/Grot-Sylvia-MM-2147_pp2-scaled.jpg
8433	cnty-com	81	__		1	4	Joe Sabatini	2024-11-05	R	28416	68	4					bocmacomb.org/commissioners/joe-sabatini	joe.sabatini@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	https://bocmacomb.org/wp-content/uploads/2021/12/Sabatini-Joe-MM-2131_pp-scaled.jpg
8434	cnty-com	81	__		1	5	Don VanSyckel	2024-11-05	R	20705	62	4					bocmacomb.org/commissioners/don-vansyckel	don.vansyckel@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	https://bocmacomb.org/wp-content/uploads/2021/12/Vansyckel-Don-MM-2154_pp-scaled.jpg
8435	cnty-com	81	__		1	6	Joseph V. Romano	2024-11-05	R	21040	58	4					bocmacomb.org/commissioners/joseph-v-romano	joseph.v.romano@macombgov.org	586-469-5125	1 South Main Street, Mount Clemens MI 48043	
