id	org	district	locale	office	seatnum	subdist	name	elected	party	votes_C	pct	termlen	open	Res	Part	status	web	email	phone	address	headshot	termlen_original	seatnum_original	seatmax
696	cnty	81		atty	1	0	Chris Becker	2024-11-05	R	189941	53	4	 		 		www.accesskent.com/Courts/Prosecutor		616-632-6710	82 Ionia Avenue Northwest, Grand Rapids MI 49503		4	1	1
746	cnty	81		clerkreg	1	0	Lisa Posthumus Lyons	2024-11-05	R	193878	54	4	 		 		www.accesskent.com/Departments/CountyClerk	clerk-register@kentcountymi.gov	616-632-7640	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
768	cnty	81		drain	1	0	Ken Yonker	2024-11-05	R	185420	52	4	 		 		www.accesskent.com/Departments/DrainCommissioner	ken.yonker@kentcountymi.gov	616-632-7910	775 Ball Avenue Northeast, Grand Rapids MI 49503		4	1	1
843	cnty	81		sheriff	1	0	Michelle LaJoye-Young	2024-11-05	R	243204	95	4	 		 		www.accesskent.com/Sheriff	kentsheriff@kentcountymi.gov	616-632-6100	701 Ball Avenue Northeast, Grand Rapids MI 49503		4	1	1
896	cnty	81		treas	1	0	Peter MacGregor	2024-11-05	R	189926	53	4	 		 		www.accesskent.com/Departments/Treasurer	kctreasurer@kentcountymi.gov	616-632-7500	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1040	cnty-com	81			1	1	Ben Greene	2024-11-05	R	11464	61	4	 		 		www.accesskent.com/Departments/BOC/members.htm	ben.greene@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1041	cnty-com	81			1	2	Elizabeth Morse	2024-11-05	R	10692	63	4	 		 		www.accesskent.com/Departments/BOC/members.htm			300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1042	cnty-com	81			1	3	Jenn Merchant	2024-11-05	R	15391	98	4	 		 		www.accesskent.com/Departments/BOC/members.htm	jennifer.merchant@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1043	cnty-com	81			1	4	Katie DeBoer	2024-11-05	R	13781	64	4	 		 		www.accesskent.com/Departments/BOC/members.htm	katie.deboer@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1044	cnty-com	81			1	5	Dave Hildenbrand	2024-11-05	R	12404	60	4	 		 		www.accesskent.com/Departments/BOC/members.htm	dave.hildenbrand@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1045	cnty-com	81			1	6	Stan Stek	2024-11-05	R	10487	55	4	 		 		www.accesskent.com/Departments/BOC/members.htm	stan.stek@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1046	cnty-com	81			1	7	Stan Ponstein	2024-11-05	R	8910	53	4	 		 		www.accesskent.com/Departments/BOC/members.htm	stan.ponstein@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1047	cnty-com	81			1	8	Dan Burrill	2024-11-05	R	9198	54	4	 		 		www.accesskent.com/Departments/BOC/members.htm	dan.burrill@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1048	cnty-com	81			1	9	Matt Kallman	2024-11-05	R	13873	97	4	 		 		www.accesskent.com/Departments/BOC/members.htm	matt.kallman@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1049	cnty-com	81			1	10	Robin Halsted	2024-11-05	R	9821	58	4	 		 		www.accesskent.com/Departments/BOC/members.htm			300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1050	cnty-com	81			1	11	Lindsey Thiel	2024-11-05	R	12092	58	4	 		 		www.accesskent.com/Departments/BOC/members.htm	lindsey.thiel@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1051	cnty-com	81			1	12	Monica Sparks	2024-11-05	D	8056	59	4	 		 		www.accesskent.com/Departments/BOC/members.htm	monica.sparks@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1052	cnty-com	81			1	13	Michelle McCloud	2024-11-05	D	9287	60	4	 		 		www.accesskent.com/Departments/BOC/members.htm	michelle.mccloud@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1053	cnty-com	81			1	14	Carol M. Hennessy	2024-11-05	D	9454	64	4	 		 		www.accesskent.com/Departments/BOC/members.htm	carol.hennessy@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1054	cnty-com	81			1	15	Lisa S. Oliver-King	2024-11-05	D	8597	63	4	 		 		www.accesskent.com/Departments/BOC/members.htm	lisa.oliver-king@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1055	cnty-com	81			1	16	Melissa LaGrand	2024-11-05	D	11260	75	4	 		 		www.accesskent.com/Departments/BOC/members.htm	melissa.lagrand@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1056	cnty-com	81			1	17	Robert Womack	2024-11-05	D	10728	82	4	 		 		www.accesskent.com/Departments/BOC/members.htm			300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1057	cnty-com	81			1	18	Steve Faber	2024-11-05	D	10753	61	4	 		 		www.accesskent.com/Departments/BOC/members.htm			300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
1058	cnty-com	81			1	19	Kris Pachla	2024-11-05	D	13298	71	4	 		 		www.accesskent.com/Departments/BOC/members.htm	kristofer.pachla@kentcountymi.gov	616-632-7580	300 Monroe Avenue Northwest, Grand Rapids MI 49503		4	1	1
6525	cnty-com	81			1	20	Nancy L. Morales	2024-11-05	D	5444	65	4	 		 							4	1	1
6526	cnty-com	81			1	21	Walter Bujak	2024-11-05	R	15342	98	4	 		 							4	1	1
2455	town	240	ada	town-clerk	1	0	Jo DeMarco	2024-11-05	R	5217	56	4	 		 							4	1	1
3120	town	240	ada	town-super	1	0	Thomas Korth	2024-11-05	R	6551	98	4	 		 							4	1	1
3741	town	240	ada	town-treas	1	0	Kevin W. Moran	2024-11-05	R	6558	98	4	 		 		http://adamichigan.org/township/government/elected-officials	kmoran@adatownshipmi.com	616-676-9191	7330 Thornapple River Dr PO Box 370 Ada, Michigan  49301		4	1	1
4447	town-cou	240	ada	council	4	0	Daniel L. Carter	2024-11-05	R	5799	24	4	 		 		http://adamichigan.org/township/government/elected-officials	dlc@dancarteradvisors.com	616-446-5230	7330 Thornapple River Dr PO Box 370 Ada, Michigan  49301		4	1	4
10229	town-cou	240	ada	council	4	0	Erin Damstra	2024-11-05	R	5930	25	4	 		 							4	2	4
10230	town-cou	240	ada	council	4	0	Daniel Hurwitz	2024-11-05	R	5735	24	4	 		 		http://adamichigan.org/township/government/elected-officials	djhurwitz@adatownshipmi.com		7330 Thornapple River Dr PO Box 370 Ada, Michigan  49301		4	3	4
10231	town-cou	240	ada	council	4	0	Robert Proos	2024-11-05	R	5645	24	4	 		 		http://adamichigan.org/township/government/elected-officials	rproos@adatownshipmi.com		7330 Thornapple River Dr PO Box 370 Ada, Michigan  49301		4	4	4
2359	town	1160	algoma	town-clerk	1	0	Tim Spitler	2024-11-05	R	5743	98	4	 		 		www.algomatwp.org	clerk@algomatwp.org	616-433-1428	10531 Algoma Ave NE Rockford, Michigan 49341		4	1	1
3023	town	1160	algoma	town-super	1	0	Kevin J. Green	2024-11-05	R	5746	98	4	 		 		www.algomatwp.org	supervisor@algomatwp.org	616-433-1426	10531 Algoma Ave NE Rockford, Michigan  49341		4	1	1
3643	town	1160	algoma	town-treas	1	0	Eric Alderman	2024-11-05	R	5691	98	4	 		 							4	1	1
4275	town-cou	1160	algoma	council	4	0	Elizabeth A. Johnson	2024-11-05	R	5235	25	4	 		 		www.algomatwp.org	ejohnson@algomatwp.org	616-302-7650	10531 Algoma Ave NE Rockford, Michigan  49341		4	1	4
10090	town-cou	1160	algoma	council	4	0	Gordon L. Pickerd	2024-11-05	R	5074	24	4	 		 		www.algomatwp.org	gpickerd@algomatwp.org	616-401-1862	10531 Algoma Ave NE Rockford, Michigan  49341		4	2	4
10091	town-cou	1160	algoma	council	4	0	James Powell	2024-11-05	R	5026	24	4	 		 		www.algomatwp.org	jpowell@algomatwp.org	616-866-4693	10531 Algoma Ave NE Rockford, Michigan  49341		4	3	4
10092	town-cou	1160	algoma	council	4	0	Steve Rikkers	2024-11-05	R	4910	24	4	 		 		www.algomatwp.org	srikkers@algomatwp.org	616-291-6912	10531 Algoma Ave NE Rockford, Michigan  49341		4	4	4
2427	town	1840	alpine	town-clerk	1	0	Christy Mitchell	2024-11-05	R	4954	95	4	 		 		www.alpinetwp.org/government/clerk	clerk@alpinetwp.org	616-784-1262	5255 Alpine Ave NW Comstock Park, Michigan  49321		4	1	1
3092	town	1840	alpine	town-super	1	0	Greg Madura	2024-11-05	R	4969	95	4	 		 		www.alpinetwp.org/government/supervisor.php	g.madura@alpinetwp.org	616-784-1262	5255 Alpine Ave NW Comstock Park, Michigan  49321		4	1	1
